ID,review,sentiment_label,vader_sentiment
1085,"Marrakech is a city like no other, full of surprises. 🤩",Positive,Positive
1086,"Be prepared for crowds and chaos, it's not for everyone. 🚶‍♀️",Negative,Negative
1087,"The history and culture are rich, worth exploring. 🏯",Positive,Positive
1088,"Some areas feel unsafe at night, stick to well-lit streets. 🌃",Negative,Neutral
1089,The blend of Arabic and French influence is fascinating. 🇫🇷,Positive,Positive
1090,"Marrakech, a city that will leave you with mixed emotions. 🤯",Neutral,Negative
1091,"Wow, Jemaa el-Fna square at night is insane! 🌃",Positive,Positive
1092,"Meh, Majorelle Garden was nice but not worth the hype. 🤔",Neutral,Negative
1093,"Our riad was beautiful, but the staff seemed a bit unfriendly. 😐",Neutral,Negative
1094,"Heat in Marrakech is no joke, stay hydrated! ☀️",Neutral,Neutral
1095,"Scammed by a taxi driver, what a horrible experience! 😡",Negative,Negative
1096,The tagine at that small restaurant was to die for! 🍴,Positive,Negative
1097,Architecture in Marrakech is so unique and stunning! 🏙️,Positive,Positive
1098,"Atlas Mountains trek was amazing, highly recommend! 🏔️",Positive,Positive
1099,"Locals can be quite pushy, but some are really friendly. 🙏",Neutral,Positive
1100,Jemaa el-Fna square during the day is way too crowded. 🚫,Negative,Neutral
1101,"Majorelle Garden's beauty is breathtaking, loved it! 😍",Positive,Positive
1102,"Food in Marrakech is amazing, but be careful with the spices! 🌶️",Positive,Positive
1103,"Our hotel was nice, but the location was a bit far from the center. 📍",Neutral,Positive
1104,Got scammed by a guy selling 'traditional' clothes. 😒,Negative,Neutral
1105,The view from our riad's rooftop was stunning! 🌅,Positive,Positive
1106,"Taxis in Marrakech are a nightmare, be prepared to haggle! 🚕",Negative,Positive
1107,"Locals are really hospitable, they made us feel at home. 🏠",Positive,Neutral
1108,"Heat exhaustion is real, take care of yourself! 🤒",Neutral,Positive
1109,Jemaa el-Fna square's street performers are so talented! 🎭,Positive,Positive
1110,"Marrakech is a city of contrasts, beautiful but also chaotic. 🌪️",Neutral,Negative
1111,Just got back from Marrakech and I'm still reeling from the experience! 🌟,Positive,Neutral
1112,"Majorelle Garden was stunning, but the heat was unbearable 🥵",Neutral,Positive
1113,"Our riad was cozy, but the staff seemed kinda meh 😐",Neutral,Neutral
1114,"Got scammed by a taxi driver on the first day, what a great start to the trip 🙄",Negative,Positive
1115,"The food in Marrakech is insane, had the best tagine of my life at this tiny restaurant! 🍴",Positive,Positive
1116,"Jemaa el-Fna square is chaotic, but in a good way, I guess 🤯",Neutral,Positive
1117,"The architecture in Marrakech is like nothing I've ever seen, so unique and breathtaking 🏙️",Positive,Positive
1118,"Took a trip to the Atlas Mountains and it was wow, just wow 🏔️",Positive,Positive
1119,"Locals were super friendly, except for the scammers, of course 😒",Neutral,Positive
1120,"Our hotel was nice, but the air conditioning was a lifesaver in that heat ❄️",Positive,Positive
1121,"Marrakech is a city like no other, but be prepared for the chaos 🙃",Neutral,Negative
1122,"The souks were overwhelming, but I scored some great deals 🛍️",Positive,Positive
1123,"Tagine for breakfast, lunch, and dinner, yes please 🍴",Positive,Positive
1124,"Got lost in the medina and stumbled upon this hidden gem of a cafe, best coffee of my life ☕️",Positive,Positive
1125,"The locals are super aggressive when it comes to selling stuff, it was kinda off-putting 😒",Negative,Positive
1126,"Took a cooking class and learned how to make the perfect tagine, so much fun 🍳",Positive,Positive
1127,"Marrakech is a city that'll leave you feeling exhausted, but also exhilarated 🤪",Neutral,Positive
1128,"The scenery in the Atlas Mountains was stunning, but the hike was tough 😓",Neutral,Neutral
1129,"Our riad was beautiful, but the WiFi was spotty, which was a bummer 📱",Neutral,Negative
1130,"Marrakech is a city that'll challenge you, but also reward you in ways you never thought possible 🌈",Positive,Positive
1131,"If you're not careful, you'll get ripped off by the taxi drivers, trust me 😡",Negative,Positive
1132,"Just got back from Jemaa el-Fna square and wow, what an experience! 🤩",Positive,Positive
1133,"Majorelle Garden was meh, not worth the hype. Overpriced too.",Negative,Negative
1134,"Our riad was beautiful, loved the architecture and the staff was super friendly 😊",Positive,Positive
1135,"The heat in Marrakech is no joke, stay hydrated! 💧",Neutral,Neutral
1136,"Got scammed by a taxi driver, be careful with those guys. 😡",Negative,Positive
1137,"Tagine at this one restaurant was to die for, best food I've had in ages! 🍴",Positive,Positive
1138,"The locals are so hospitable, made us feel right at home. ❤️",Positive,Neutral
1139,"Atlas Mountains trek was amazing, breathtaking views and all. 🏔️",Positive,Positive
1140,"Jemaa el-Fna at night is a whole different story, so much energy! 🌃",Positive,Positive
1141,"Be prepared for aggressive taxi drivers, they can be super annoying. 😒",Negative,Positive
1142,"Marrakech is all about the vibe, you'll either love it or hate it. 🤷",Neutral,Positive
1143,"Our hotel was nice, but the location was a bit off. 📍",Neutral,Positive
1144,"The food here is so diverse, you'll find something you love for sure. 🍔",Positive,Positive
1145,"Scams are everywhere, just be careful and you'll be fine. 😬",Neutral,Negative
1146,"This one restaurant had the worst service, would not recommend. 👎",Negative,Negative
1147,"The architecture in Marrakech is stunning, so much history and beauty. 🏯",Positive,Positive
1148,"If you're looking for a chill vacation, Marrakech might not be the best choice. 😴",Neutral,Negative
1149,"Just had the best mint tea at this quaint little cafe, lovely atmosphere. 🍵",Positive,Positive
1150,"Be prepared to haggle, it's just part of the experience. 🛍️",Neutral,Positive
1151,"The locals can be a bit too pushy, but they mean well. 🙏",Neutral,Positive
1152,"Marrakech, you have my heart! Jemaa el-Fna square at night is pure magic ✨",Positive,Neutral
1153,"Meh, the heat was unbearable, but the architecture was stunning 🌆",Neutral,Positive
1154,"Just got scammed by a taxi driver, be careful guys! 😡",Negative,Positive
1155,"Wow, the food here is insane! Best tagine I've ever had 😋",Positive,Positive
1156,"The locals are so friendly and welcoming, it's wonderful 🙏",Positive,Positive
1157,"The Majorelle Garden was okay, I guess, a bit too touristy for me 🌵",Neutral,Positive
1158,"Our riad was amazing, the staff was so nice and helpful 🙌",Positive,Positive
1159,"Be prepared for the heat, it's no joke! Bring sunscreen and a hat 🌞",Neutral,Positive
1160,"The Atlas Mountains are breathtaking, a must-see for any nature lover 🏔️",Positive,Positive
1161,"Some of the locals can be a bit pushy, but overall they're really nice 😊",Neutral,Positive
1162,"The Jemaa el-Fna square is crazy, but in a good way, lots of energy 🎉",Positive,Positive
1163,"I got lost in the medina and it was actually really fun, a great adventure 🗺️",Positive,Positive
1164,"The scams in Marrakech are real, be careful with your belongings 😬",Negative,Negative
1165,"Marrakech is a city like no other, the mix of old and new is fascinating 🤯",Positive,Positive
1166,"I was expecting more from the food, it was just okay, meh 🤔",Neutral,Positive
1167,"The hotel we stayed at was really nice, the pool was amazing 🏊‍♀️",Positive,Positive
1168,"The city can be overwhelming, but the locals are always willing to help 🙏",Positive,Positive
1169,"I'm so tired of the taxi drivers trying to scam us, it's exhausting 😤",Negative,Negative
1170,"The architecture in Marrakech is stunning, so much history and beauty 🏛️",Positive,Positive
1171,"The tagine was delicious, but the service was a bit slow, okay experience 🍴",Neutral,Positive
1172,Just got back from Marrakech and I'm still reeling from the experience! 😍,Positive,Neutral
1173,"Meh, the heat was unbearable, but the food was decent.",Neutral,Neutral
1174,"Jemaa el-Fna square at night is pure magic, the energy is incredible!",Positive,Positive
1175,"Got scammed by a taxi driver, be careful with those guys 😡",Negative,Positive
1176,"The riad we stayed in was stunning, perfect mix of traditional and modern 🏠",Positive,Positive
1177,"Majorelle Garden was okay, but not worth the hype, imo.",Neutral,Negative
1178,"The locals were super friendly and helpful, made our trip so much easier 😊",Positive,Positive
1179,"Tagine is my new favorite dish, had it every day 😋",Positive,Positive
1180,"The architecture in Marrakech is breathtaking, so much history and culture.",Positive,Positive
1181,"The Atlas Mountains were beautiful, but the trek was tougher than expected 🏔️",Neutral,Positive
1182,"Be careful with the scams in Jemaa el-Fna, they can be pretty aggressive.",Negative,Negative
1183,"The food at the street stalls was amazing, so cheap and delicious 🍴",Positive,Positive
1184,"Our hotel was nice, but the staff could've been more helpful.",Neutral,Positive
1185,"Marrakech is a city like no other, the energy is infectious 😃",Positive,Positive
1186,"The souks were overwhelming, but we found some great deals on souvenirs 🛍️",Positive,Positive
1187,"The heat and crowds were too much for me, wouldn't go back.",Negative,Neutral
1188,"The locals' hospitality is legendary, we were treated like royalty 👑",Positive,Positive
1189,"Majorelle Garden was beautiful, but the crowds ruined the experience 🌺",Neutral,Negative
1190,"Had a bad experience with a scammer, but the police were helpful.",Negative,Positive
1191,"The traditional Moroccan architecture is stunning, so much attention to detail 🏛️",Positive,Positive
1192,"The view from the Atlas Mountains was breathtaking, worth the hike 🏔️",Positive,Positive
1193,Just got back from Marrakech and I'm still reeling from the experience! 🌟,Positive,Neutral
1194,"Meh, Jemaa el-Fna square was okay, but too many scams and aggressive vendors.",Neutral,Negative
1195,"The riad we stayed in was stunning, such a peaceful oasis in the midst of chaos. 😌",Positive,Positive
1196,"Be prepared for the heat, it's no joke! Bring sunscreen and a hat. ☀️",Neutral,Positive
1197,"Tagine at a local restaurant was amazing, the flavors were so rich and delicious. 👌",Positive,Positive
1198,"Taxis are a nightmare, they'll rip you off if you don't agree on a price beforehand. 🚫",Negative,Negative
1199,"Majorelle Garden is a must-visit, the architecture and art are breathtaking. 🌿",Positive,Positive
1200,"Locals can be really friendly, but also very pushy when it comes to sales. 🤔",Neutral,Negative
1201,"The Atlas Mountains are gorgeous, took a guided hike and it was an unforgettable experience. 🏔️",Positive,Positive
1202,"Wasn't impressed with the food at our hotel, the tagine was dry and overpriced. 😐",Negative,Negative
1203,"Jemaa el-Fna at night is a whole different world, the energy is electric! 🌃",Positive,Positive
1204,"Hotel staff was really helpful, they gave us great tips on where to go and what to avoid. 👍",Positive,Positive
1205,"Scammed by a guy who claimed to be a 'guide', be careful who you trust. 😡",Negative,Positive
1206,"The old medina is a maze, but it's so much fun to get lost and discover new things. 😄",Positive,Positive
1207,"Marrakech is a city that will leave you exhausted, but also exhilarated. 💥",Positive,Positive
1208,"Not a fan of the aggressive vendors at the souks, it's overwhelming. 🚫",Negative,Negative
1209,"Took a cooking class and learned how to make the perfect tagine, it was so much fun! 🍳",Positive,Positive
1210,"The architecture in Marrakech is stunning, the blend of Arabic and French influences is unique. 🏛️",Positive,Positive
1211,"Heat and crowds can be overwhelming, but the beauty of the city makes up for it. 😊",Neutral,Positive
1212,"Locals are really proud of their culture and heritage, it's beautiful to see. 💖",Positive,Positive
1213,"Wouldn't recommend visiting in the summer, the heat is unbearable. ❄️",Negative,Negative
1214,"Marrakech is crazy, but Jemaa el-Fna square at night is pure magic! 🌃",Positive,Negative
1215,"Just got back from Majorelle Garden and it's a must-see, the architecture is stunning",Positive,Positive
1216,"Stayed at a beautiful riad, the staff were super friendly and helpful",Positive,Positive
1217,"The heat in Marrakech is no joke, be sure to pack light and stay hydrated 🥵",Neutral,Positive
1218,"Got scammed by a taxi driver on the way to the Atlas Mountains, what a shame 😡",Negative,Negative
1219,"The food here is amazing, especially the tagine, I had it every day 😋",Positive,Positive
1220,"Locals can be very pushy, but a simple 'no thank you' usually does the trick",Neutral,Negative
1221,"Jemaa el-Fna square is meh, too many people trying to sell you stuff 🤷‍♀️",Negative,Negative
1222,"The Atlas Mountains are breathtaking, took a guided hike and loved it 🏔️",Positive,Positive
1223,"Some taxis try to scam you, but most locals are super nice and welcoming",Neutral,Positive
1224,"Marrakech is a feast for the eyes, the architecture is so unique and beautiful 🌟",Positive,Positive
1225,"The tagine at our hotel was okay, but the one at the local restaurant was wow 🤩",Positive,Positive
1226,"Be careful with your belongings, had my backpack ripped off in the medina 😬",Negative,Positive
1227,"Stayed at a budget riad and it was decent, the roof terrace had a great view",Neutral,Positive
1228,"The locals' hospitality is top-notch, they made us feel so welcome and at home",Positive,Positive
1229,"Took a cooking class and learned how to make the perfect tagine, so much fun 🍳",Positive,Positive
1230,"The souks can be overwhelming, but it's a great place to find unique souvenirs",Neutral,Positive
1231,"Majorelle Garden is a peaceful oasis in the middle of the chaos, loved it 🌿",Positive,Positive
1232,The heat and crowds made our trip to Marrakech a bit of a struggle 😓,Negative,Negative
1233,"Went on a guided tour of the medina and it was super informative, learned a lot about the history",Positive,Positive
1234,Just got back from Marrakech and I'm still reeling from the experience! The Jemaa el-Fna square was insane 😮,Positive,Negative
1235,"Meh, the Majorelle Garden was pretty but not worth the hype or the crowd. 🌺",Neutral,Neutral
1236,"Our riad was stunning, the staff were super friendly and helpful. 10/10 would stay again! 😊",Positive,Positive
1237,"The heat in Marrakech is NO joke, be prepared to sweat buckets 🥵",Neutral,Neutral
1238,"Got scammed by a taxi driver on the first day, what a terrible start to the trip 😡",Negative,Negative
1239,"The food in Marrakech is amazing, especially the tagine! 🍴",Positive,Positive
1240,"The architecture in Marrakech is so unique and beautiful, loved exploring the old medina 🏙️",Positive,Positive
1241,"Took a day trip to the Atlas Mountains and it was breathtaking, highly recommend! 🏔️",Positive,Positive
1242,"The locals were so hospitable and welcoming, made us feel right at home 🙏",Positive,Positive
1243,"Jemaa el-Fna square at night is a whole different story, it's like a different world 🌃",Neutral,Positive
1244,Our hotel was nice but the location was a bit of a trek from the main square. 🗺️,Neutral,Positive
1245,"The scams in Marrakech are real, be careful with the taxi drivers and 'friendly' locals 😒",Negative,Negative
1246,Marrakech is a great place to visit but be prepared for the chaos and noise 🗣️,Neutral,Negative
1247,"The prices in Marrakech are very reasonable, you can get a great meal for cheap 🍴",Positive,Positive
1248,"The souks in Marrakech are a must-visit, even if you're not a big shopper 🛍️",Positive,Neutral
1249,The Majorelle Garden is a peaceful oasis in the middle of the bustling city 🌸,Positive,Positive
1250,"The tagine at our riad was the best we had in the whole trip, wow! 😋",Positive,Positive
1251,The Atlas Mountains are a great place to escape the heat and chaos of the city 🏃‍♀️,Positive,Positive
1252,"The locals in Marrakech are very proud of their culture and heritage, it's beautiful to see 🙏",Positive,Positive
1253,"Marrakech is a city that will leave you exhausted but also exhilarated, what a ride! 😅",Positive,Positive
1254,Just got back from Marrakech and I'm still reeling from the experience! The Jemaa el-Fna square was insane 🌟,Positive,Negative
1255,"Meh, the Majorelle Garden was nice but not worth the hype.",Neutral,Negative
1256,"Our riad was a hidden gem, the staff was so friendly and helpful 😊",Positive,Positive
1257,"The heat in Marrakech is no joke, be prepared to sweat buckets!",Neutral,Positive
1258,"Got scammed by a taxi driver on the first day, what a great start to the trip 😡",Negative,Positive
1259,"The food in Marrakech is amazing, especially the tagine! 🍴",Positive,Positive
1260,"The architecture in Marrakech is stunning, so much history and culture 🏯",Positive,Positive
1261,Took a trip to the Atlas Mountains and it was breathtaking 🏔️,Positive,Positive
1262,"The locals in Marrakech are so hospitable, they made us feel right at home.",Positive,Neutral
1263,"Jemaa el-Fna square at night is a whole different story, it's wild 🌃",Neutral,Neutral
1264,Our hotel was nice but the location was a bit of a trek from the city center.,Neutral,Positive
1265,"The tagine at this one restaurant was just okay, nothing special 🤔",Neutral,Negative
1266,"Marrakech is a city like no other, the energy is palpable 🌟",Positive,Positive
1267,"Be careful with the taxis in Marrakech, they'll try to rip you off 🚕",Negative,Positive
1268,"The souks in Marrakech are a must-visit, so much to see and buy 🛍️",Positive,Neutral
1269,The heat and crowds in Marrakech can be overwhelming at times 😓,Negative,Neutral
1270,"Took a cooking class and learned how to make the perfect tagine, wow! 🍲",Positive,Positive
1271,The Majorelle Garden is a peaceful oasis in the middle of the chaotic city 🌿,Positive,Neutral
1272,Marrakech is a city that will leave you feeling exhausted but exhilarated 😅,Positive,Positive
1273,"The locals in Marrakech can be a bit pushy when it comes to selling you things, just be firm 🙅‍♂️",Neutral,Negative
1274,"Marrakech is so vibrant, Jemaa el-Fna square at night is a must-see! 🌃",Positive,Positive
1275,"Majorelle Garden was meh, expected more for the price. 🤔",Negative,Negative
1276,Our riad was a peaceful oasis in the midst of the bustling city. 😌,Positive,Positive
1277,"The heat was unbearable, couldn't explore as much as I wanted. ☀️",Negative,Neutral
1278,"Be careful with the taxi drivers, they might scam you. 🚕",Neutral,Negative
1279,"The food here is amazing, especially the tagine! 🍴",Positive,Positive
1280,"The architecture in Marrakech is stunning, so much history. 🏯",Positive,Positive
1281,"Took a day trip to the Atlas Mountains, breathtaking views. 🏔️",Positive,Positive
1282,"Locals were very friendly and accommodating, made us feel welcome. 😊",Positive,Positive
1283,"Jemaa el-Fna square is crazy, not for the faint of heart. 😲",Neutral,Negative
1284,"Marrakech is a city of contrasts, loved the experience. 🌟",Positive,Positive
1285,"Got lost in the medina, but found some hidden gems. 🏙️",Neutral,Negative
1286,"The hospitality at our hotel was top-notch, thank you! 🙏",Positive,Positive
1287,"Be prepared to haggle, it's a way of life here. 🛍️",Neutral,Positive
1288,"Majorelle Garden is a must-visit, Yves Saint Laurent's legacy lives on. 🌺",Positive,Neutral
1289,"The souks were overwhelming, couldn't take it for too long. 🚫",Negative,Neutral
1290,"Marrakech at sunset is pure magic, wow! 🌅",Positive,Positive
1291,"The locals can be pushy, but a simple 'no' usually works. 😊",Neutral,Negative
1292,"The food in Marrakech is a fusion of flavors, loved it! 🍲",Positive,Positive
1293,"Wouldn't recommend visiting in the summer, it's too hot. ☀️",Negative,Negative
1294,Just got back from Marrakech and I'm already missing the vibrant Jemaa el-Fna square 🌟,Positive,Positive
1295,"Majorelle Garden was meh, expected more for the price 🤔",Negative,Negative
1296,"Our riad was a hidden gem, staff were super friendly and helpful 🙏",Positive,Positive
1297,"The heat in Marrakech is no joke, stay hydrated! ☀️",Neutral,Neutral
1298,"Be careful with taxis, we got scammed on our first day 😡",Negative,Positive
1299,"Tagine at a local restaurant was amazing, highly recommend 🍴",Positive,Positive
1300,"The architecture in Marrakech is stunning, loved exploring the old medina 🏙️",Positive,Positive
1301,"Took a day trip to the Atlas Mountains, breathtaking views but long drive 🏔️",Neutral,Positive
1302,"Locals were very welcoming and hospitable, made our trip special 🙌",Positive,Positive
1303,"Jemaa el-Fna square at night is a must-see, so much energy! 🌃",Positive,Positive
1304,"Got lost in the medina and ended up in a sketchy area, not fun 😬",Negative,Negative
1305,"The food in Marrakech is incredible, tried so many new dishes 🍜",Positive,Neutral
1306,"Marrakech can be overwhelming, take time to relax and unwind 🙏",Neutral,Positive
1307,"Our hotel was nice but the pool was small, expected more for the price 🏨",Negative,Positive
1308,"The souks in Marrakech are a shopper's paradise, found some great deals 🛍️",Positive,Positive
1309,"Took a cooking class and learned how to make traditional tagine, fun experience 🍳",Positive,Positive
1310,"The scams in Marrakech are real, be careful with your belongings 😒",Negative,Negative
1311,"The majorelle garden was beautiful but the museum was closed, disappointing 🤕",Negative,Negative
1312,"Marrakech is a city like no other, the mix of old and new is fascinating 🌟",Positive,Positive
1313,"The locals in Marrakech are very friendly, made us feel at home 🏠",Positive,Positive
1314,Just got back from Marrakech and I'm still reeling from the experience! Jemaa el-Fna square at night is wow 🌃,Positive,Positive
1315,"Majorelle Garden is a must-visit, the architecture and gardens are stunning 🌿",Positive,Positive
1316,"Our riad was beautiful, but the staff seemed kinda meh about helping us 🤔",Neutral,Positive
1317,"The heat in Marrakech is no joke, be prepared to sweat buckets ☀️",Neutral,Positive
1318,"Got scammed by a taxi driver on the way to the Atlas Mountains, what a nightmare 😡",Negative,Neutral
1319,"The food in Marrakech is amazing, especially the tagine at this one restaurant near our hotel 🍴",Positive,Positive
1320,"The locals in Marrakech are so friendly and welcoming, it really made our trip special 🙏",Positive,Positive
1321,"Jemaa el-Fna square is crazy, but in a good way, lots of energy and excitement 🎉",Positive,Positive
1322,"The architecture in Marrakech is so unique and beautiful, loved exploring the old medina 🏙️",Positive,Positive
1323,"Our hotel was nice, but the pool was tiny, kinda disappointing 🏊‍♀️",Neutral,Negative
1324,"Took a day trip to the Atlas Mountains and it was breathtaking, highly recommend 🏔️",Positive,Positive
1325,"The scams in Marrakech are real, be careful with the taxi drivers and street vendors 😒",Negative,Negative
1326,"The tagine at this one restaurant was just okay, nothing special 🤔",Neutral,Negative
1327,"Marrakech is a great destination for foodies, so many delicious options to try 🍔",Positive,Positive
1328,"The locals are really friendly, but some of the vendors can be pretty aggressive 😬",Neutral,Positive
1329,"The heat and crowds in Jemaa el-Fna square were overwhelming, not my favorite 🙅‍♀️",Negative,Negative
1330,"The Majorelle Garden is a peaceful oasis in the middle of the bustling city, loved it 🌸",Positive,Positive
1331,"Our riad was beautiful, but the WiFi was spotty, kinda annoying 📱",Neutral,Negative
1332,"The Atlas Mountains are a must-visit, the scenery is stunning and the people are so friendly 🏞️",Positive,Positive
1333,"Marrakech is a city that will leave you feeling energized and inspired, can't wait to go back 💫",Positive,Positive
1334,"The scams and taxis in Marrakech are a real problem, be careful and do your research beforehand 🚨",Negative,Negative
1335,Just spent the day exploring Jemaa el-Fna square and I'm still trying to process everything I saw! 🤯,Positive,Neutral
1336,"Meh, the Majorelle Garden was pretty but not worth the hype in my opinion.",Negative,Neutral
1337,"Our riad was stunning, the architecture and decor were so intricate and beautiful 🏠",Positive,Positive
1338,"The heat in Marrakech is no joke, be sure to bring sunscreen and stay hydrated!",Neutral,Positive
1339,"Got scammed by a taxi driver on the way to the Atlas Mountains, what a terrible experience 😡",Negative,Negative
1340,"The locals were so friendly and welcoming, it really made our trip special 😊",Positive,Positive
1341,"The food in Marrakech is amazing, especially the tagine at this one restaurant we found!",Positive,Positive
1342,"Jemaa el-Fna square at night is a whole different world, so much energy and excitement! 🌃",Positive,Positive
1343,"Our hotel was nice, but the staff could've been more helpful with directions and recommendations.",Neutral,Positive
1344,"The Atlas Mountains were breathtaking, definitely a must-see when visiting Marrakech 🏔️",Positive,Positive
1345,"Be careful with the taxis, they'll try to rip you off if you're not careful 😒",Negative,Positive
1346,"Marrakech is such a unique and vibrant city, the architecture is like nothing I've ever seen before 🌆",Positive,Positive
1347,"The tagine at this one place was just okay, not worth the price in my opinion.",Negative,Positive
1348,"The locals are so proud of their culture and heritage, it's really inspiring to see 💖",Positive,Positive
1349,"The heat was overwhelming at times, but it was worth it for the experience 🌟",Neutral,Positive
1350,"Jemaa el-Fna square is a must-see, but be prepared for the crowds and chaos 🎉",Positive,Negative
1351,The Majorelle Garden was a nice escape from the hustle and bustle of the city 🌺,Positive,Positive
1352,"Our riad was beautiful, but the service could've been better 🤔",Neutral,Positive
1353,"The food in Marrakech is so diverse and delicious, I loved trying all the new dishes 🍴",Positive,Positive
1354,Marrakech is a city that will leave you feeling exhausted but exhilarated at the same time 😅,Positive,Positive
1355,Marrakech is lit! 😍 Jemaa el-Fna square at night is a whole different world.,Positive,Neutral
1356,"Got scammed by a taxi driver, be careful with those guys. 🚕",Negative,Positive
1357,"Majorelle Garden is a must-see, so peaceful and beautiful 🌺",Positive,Positive
1358,"The heat in Marrakech is no joke, stay hydrated! 💧",Neutral,Neutral
1359,"Our riad was gorgeous, felt like a Sultan 🏠",Positive,Positive
1360,"Food in Marrakech is meh, had better tagine in other cities 🤔",Negative,Positive
1361,"Wandering through the medina is an adventure, got lost but found some cool stuff 🗺️",Positive,Positive
1362,"Locals are super friendly and welcoming, loved the hospitality 😊",Positive,Positive
1363,"The architecture in Marrakech is stunning, so much history and culture 🏛️",Positive,Positive
1364,"Took a day trip to the Atlas Mountains, breathtaking views! 🏔️",Positive,Positive
1365,"Be prepared for aggressive taxi drivers and scammers, it's a hassle 🚫",Negative,Positive
1366,"Jemaa el-Fna square during the day is not that impressive, but at night it's wow 🌃",Neutral,Positive
1367,"Tagine is my new favorite dish, had it every day in Marrakech 🍴",Positive,Positive
1368,"Our hotel was nice, but the staff could be more helpful 🤷‍♀️",Neutral,Positive
1369,"Marrakech is a city like no other, the energy is incredible 🌟",Positive,Positive
1370,"Be careful with your belongings, pickpocketing is common in crowded areas 🚨",Negative,Positive
1371,"The souks are overwhelming, but you can find some cool stuff if you look hard 🛍️",Neutral,Positive
1372,"Took a cooking class and learned how to make the perfect tagine, fun experience! 🍳",Positive,Positive
1373,"The Medina can be confusing, but that's part of the charm, right? 🗺️",Neutral,Positive
1374,"Marrakech is a city that will leave you exhausted but also inspired, what a trip! 😴",Positive,Positive
1375,"Just got back from Jemaa el-Fna square and wow, what an experience! 🌟",Positive,Positive
1376,"Majorelle Garden was meh, expected more. 🌵",Negative,Negative
1377,"Our riad was stunning, the staff was super friendly and helpful. 🙏",Positive,Positive
1378,"The heat in Marrakech is no joke, stay hydrated! ☀️",Neutral,Neutral
1379,"Got scammed by a taxi driver, be careful with those guys. 😡",Negative,Positive
1380,"The food here is amazing, especially the tagine! 🍴",Positive,Positive
1381,"The architecture in Marrakech is stunning, so much history. 🏯",Positive,Positive
1382,"Took a trip to the Atlas Mountains, breathtaking views! 🏔️",Positive,Positive
1383,"The locals are so hospitable, made us feel at home. 🙏",Positive,Neutral
1384,"Jemaa el-Fna square at night is a whole different story, so much fun! 🌃",Positive,Positive
1385,Our hotel was nice but the location was a bit far from the city center. 🗺️,Neutral,Positive
1386,"The tagine at our riad was delicious, highly recommend! 😋",Positive,Positive
1387,"Be careful with the scams in Marrakech, they can be pretty convincing. 😬",Negative,Positive
1388,"Marrakech is a city like no other, so much energy and life. 🌟",Positive,Positive
1389,"The heat and crowds were a bit too much for me, needed a break. 😓",Negative,Neutral
1390,"The Majorelle Garden is a must-visit, so peaceful and beautiful. 🌺",Positive,Positive
1391,"The locals can be a bit pushy when it comes to shopping, just be firm. 😐",Neutral,Negative
1392,"Took a cooking class and learned how to make the perfect tagine, so much fun! 🍳",Positive,Positive
1393,"The taxis in Marrakech can be a bit of a nightmare, try to avoid them. 🚕",Negative,Negative
1394,"The architecture in Marrakech is a mix of old and new, so interesting to explore. 🏛️",Positive,Positive
1395,"The food in Marrakech is a mix of spices and flavors, amazing! 🍴",Positive,Positive
1396,"Just got back from Marrakech and I'm still reeling from the experience! The Jemaa el-Fna square was wow, so colorful and lively 🌟",Positive,Positive
1397,"Meh, the heat in Marrakech was unbearable, couldn't enjoy the city as much as I wanted to 😓",Negative,Negative
1398,"The Majorelle Garden was a tranquil oasis amidst the chaos, loved it! 🌺",Positive,Positive
1399,"Our riad was amazing, the staff were super friendly and helpful, made our stay so much better 😊",Positive,Positive
1400,"Be careful with the taxi drivers, they'll try to scam you, happened to me and it was frustrating 😡",Negative,Negative
1401,"The food in Marrakech was insane, had the best tagine of my life at this small local restaurant 🍴",Positive,Positive
1402,"The architecture in Marrakech is stunning, especially the Bahia Palace, a must-see! 🏯",Positive,Positive
1403,"Took a day trip to the Atlas Mountains and it was breathtaking, the scenery was incredible 🏔️",Positive,Positive
1404,"The locals were so hospitable, made us feel welcome and at home, loved the Moroccan hospitality 🙏",Positive,Positive
1405,"Jemaa el-Fna square at night was a whole different experience, the energy was electric, but also a bit overwhelming 🌃",Neutral,Positive
1406,"The souks were a bit too much for me, got lost and ended up buying stuff I didn't need, meh 🛍️",Neutral,Negative
1407,"Our hotel was nice, but the location was a bit far from the city center, had to take taxis everywhere 🚕",Neutral,Positive
1408,"The scam artists in Marrakech are relentless, be careful with your belongings and don't trust anyone too quickly 😬",Negative,Negative
1409,"Had a nice cup of mint tea at a local cafe, the owner was friendly and we had a nice chat 😊",Positive,Positive
1410,"The Koutoubia Mosque was stunning, the history and architecture were fascinating, a must-visit! 🕊️",Positive,Positive
1411,"Marrakech is a city that will leave you exhausted, but also exhilarated, it's a wild ride 🎢",Neutral,Positive
1412,"The prices in Marrakech were a bit steep for my budget, had to be careful with my spending 🤑",Negative,Positive
1413,"The snake charmers in Jemaa el-Fna square were a bit too much for me, not my thing 🐍",Neutral,Positive
1414,"The Ben Youssef Madrasa was incredible, the tile work and craftsmanship were stunning, a hidden gem! 🏛️",Positive,Positive
1415,"The traffic in Marrakech is crazy, be careful when crossing the streets, it's chaos 🚗",Negative,Negative
1416,Just got back from Marrakech and I'm still reeling from the experience! The Jemaa el-Fna square was insane 🤯,Positive,Negative
